time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,train/loss/policy,train/actor_loss,train/critic_loss,train/loss/q1,train/loss/q2,train/loss/alpha,train/policy/alpha,train/ent_coef,train/value/q_mean,train/policy/log_pi_mean,train/ent_coef_loss,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/std
18766.0,10.0,0.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
312.0,20.0,0.0,20.0,0.0,0.0,0.0,-0.6182830333709717,-0.6182830333709717,55.68048095703125,55.64342498779297,51.92222595214844,0.0,0.9990516901016235,0.9990516901016235,-0.012341298162937164,-0.6707143783569336,0.0,0.0003,-0.6182830333709717,1.0,0.0,0.0
237.0,30.0,0.0,30.0,0.0,0.0,0.0,1.1284208297729492,1.1284208297729492,29.166954040527344,28.24529266357422,26.318138122558594,-0.02560056559741497,0.981650710105896,0.981650710105896,-1.781466007232666,-0.5398328304290771,-0.02560056559741497,0.0003,1.1284208297729492,11.0,0.0,0.0
213.0,40.0,0.0,40.0,0.0,0.0,0.0,4.269487380981445,4.269487380981445,20.6333065032959,20.18240737915039,16.950286865234375,-0.05676896497607231,0.963148832321167,0.963148832321167,-4.980906963348389,-0.6967549324035645,-0.05676896497607231,0.0003,4.269487380981445,21.0,0.0,0.0
197.0,50.0,0.0,50.0,0.0,0.0,0.0,5.607948303222656,5.607948303222656,9.601004600524902,10.329998970031738,9.428657531738281,-0.08974847197532654,0.9464591145515442,0.9464591145515442,-6.347740173339844,-0.6435106992721558,-0.08974847197532654,0.0003,5.607948303222656,31.0,0.0,0.0
188.0,60.0,0.0,60.0,0.0,0.0,0.0,7.0463995933532715,7.0463995933532715,10.986217498779297,11.538411140441895,10.277408599853516,-0.10926724970340729,0.931756854057312,0.931756854057312,-7.7458906173706055,-0.6637433171272278,-0.10926724970340729,0.0003,7.0463995933532715,41.0,0.0,0.0
182.0,70.0,0.0,70.0,0.0,0.0,0.0,6.3115644454956055,6.3115644454956055,6.220810890197754,6.869294166564941,5.327591896057129,-0.14217428863048553,0.9186967611312866,0.9186967611312866,-7.0124897956848145,-0.6333943605422974,-0.14217428863048553,0.0003,6.3115644454956055,51.0,0.0,0.0
178.0,80.0,0.0,80.0,0.0,0.0,0.0,5.673334121704102,5.673334121704102,6.739612102508545,7.788933753967285,5.474903106689453,-0.15579438209533691,0.9068489074707031,0.9068489074707031,-6.267671585083008,-0.5921529531478882,-0.15579438209533691,0.0003,5.673334121704102,61.0,0.0,0.0
175.0,90.0,0.0,90.0,0.0,0.0,0.0,7.160980224609375,7.160980224609375,5.282471656799316,5.9931640625,4.257559776306152,-0.18317797780036926,0.896057665348053,0.896057665348053,-7.733458042144775,-0.7164762020111084,-0.18317797780036926,0.0003,7.160980224609375,71.0,0.0,0.0
173.0,100.0,0.0,100.0,0.0,0.0,0.0,5.6843366622924805,5.6843366622924805,8.104124069213867,8.158527374267578,7.684231281280518,-0.20347970724105835,0.8860809803009033,0.8860809803009033,-6.223176002502441,-0.6044280529022217,-0.20347970724105835,0.0003,5.6843366622924805,81.0,0.0,0.0
